id,text_en,text_am,label,ubuntu_harm_type,relational_harm,relation_target,severity,context,language,rationale_en,rationale_am
260,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
261,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
262,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
263,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
264,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
265,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
266,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
267,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
268,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
269,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
270,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
271,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
272,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
273,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
274,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
275,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
276,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
277,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
278,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
279,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
280,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
281,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
282,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
283,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
284,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
285,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
286,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
287,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
288,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
289,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
290,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
291,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
292,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
293,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
294,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
295,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
296,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
297,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
298,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
299,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
300,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
301,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
302,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
303,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
304,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
305,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
306,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
307,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
308,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
309,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
310,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
311,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
312,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
313,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
314,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
315,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
316,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
317,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
318,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
319,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
320,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
321,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
322,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
323,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
324,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
325,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
326,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
327,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
328,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
329,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
330,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
331,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
332,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
333,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
334,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
335,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
336,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
337,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
338,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
339,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
340,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
341,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
342,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
343,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
344,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
345,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
346,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
347,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
348,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
349,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
350,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
351,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
352,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
353,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
354,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
355,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
356,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
357,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
358,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
359,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
360,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
361,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
362,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
363,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
364,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
365,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
366,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
367,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
368,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
369,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
370,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
371,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
372,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
373,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
374,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
375,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
376,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
377,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
378,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
379,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
380,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
381,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
382,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
383,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
384,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
385,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
386,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
387,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
388,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
389,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
390,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
391,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
