id,text_en,text_am,label_en,label_am,ubuntu_harm_type_en,ubuntu_harm_type_am,relational_harm_en,relational_harm_am,relation_target_en,relational_target_am,severity_en,severity_am,language,rationale_en,rationale_am
1632,You do not belong here.,ይህ የእናንተ ቦታ አይደለም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1633,You should be pushed out.,መባረር አለብህ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1634,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1635,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,የጥላቻ ንግግር,threat,ማስፈራሪያ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
1636,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1637,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,የጥላቻ ንግግር,stereotyping,የተዛባ አመለካከት,Yes,አዎ አለ,group,ቡድን,low,ዝቅተኛ,English-Amharic,Uses harmful group stereotype.,ለአንድ ቡድን ያለ የተዛባ አመለካከት።
1638,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1639,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1640,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1641,We can disagree without hate.,ባንስማማም አለመጣላት እንችላለን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1642,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,የጥላቻ ንግግር,threat,ማስፈራሪያ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
1643,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,የጥላቻ ንግግር,stereotyping,የተዛባ አመለካከት,Yes,አዎ አለ,group,ቡድን,low,ዝቅተኛ,English-Amharic,Uses harmful group stereotype.,ለአንድ ቡድን ያለ የተዛባ አመለካከት።
1644,Your voice does not matter here.,እዚህ ድምፅሽ ዋጋ የለውም።,hate_speech,የጥላቻ ንግግር,silencing,ዝም ማሰኘት,Yes,አዎ አለ,individual,ግለሰብ,low,ዝቅተኛ,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና እውቅናን ይከልክላል።
1645,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1646,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1647,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1648,You should be pushed out.,መባረር አለብህ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1649,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1650,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1651,We should speak respectfully.,በክብር መናገር አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1652,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1653,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1654,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1655,We should correct mistakes without humiliation.,ሰዎችን ሳናዋርድ ስህተትን ማስተካከል አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1656,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1657,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1658,We can disagree without hate.,ባንስማማም አለመጣላት እንችላለን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1659,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1660,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,የጥላቻ ንግግር,stereotyping,የተዛባ አመለካከት,Yes,አዎ አለ,group,ቡድን,low,ዝቅተኛ,English-Amharic,Uses harmful group stereotype.,ለአንድ ቡድን ያለ የተዛባ አመለካከት።
1661,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1662,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,የጥላቻ ንግግር,stereotyping,የተዛባ አመለካከት,Yes,አዎ አለ,group,ቡድን,low,ዝቅተኛ,English-Amharic,Uses harmful group stereotype.,ለአንድ ቡድን ያለ የተዛባ አመለካከት።
1663,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1664,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1665,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1666,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,የጥላቻ ንግግር,threat,ማስፈራሪያ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
1667,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1668,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1669,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1670,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1671,You should be pushed out.,መባረር አለብህ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1672,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1673,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በበጎ ሊታዩ ይችላሉ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1674,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1675,Nobody wants to hear you.,ማንም ሊሰማሽ አይፈልግም።,hate_speech,የጥላቻ ንግግር,silencing,ዝም ማሰኘት,Yes,አዎ አለ,individual,ግለሰብ,low,ዝቅተኛ,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና እውቅናን ይከልክላል።
1676,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1677,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1678,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,የጥላቻ ንግግር,threat,ማስፈራሪያ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
1679,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1680,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1681,We can solve this together.,ይህን በጋራ መፍታት እንችላለን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1682,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1683,Your voice does not matter here.,እዚህ ድምፅሽ ዋጋ የለውም።,hate_speech,የጥላቻ ንግግር,silencing,ዝም ማሰኘት,Yes,አዎ አለ,individual,ግለሰብ,low,ዝቅተኛ,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና እውቅናን ይከልክላል።
1684,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,የጥላቻ ንግግር,threat,ማስፈራሪያ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
1685,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1686,Get out of our space.,ከቦታችን ውጣ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1687,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1688,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1689,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በበጎ ሊታዩ ይችላሉ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1690,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1691,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1692,We can disagree without hate.,ባንስማማም አለመጣላት እንችላለን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1693,Get out of our space.,ከቦታችን ውጣ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1694,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1695,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1696,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,የጥላቻ ንግግር,threat,ማስፈራሪያ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
1697,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,የጥላቻ ንግግር,threat,ማስፈራሪያ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
1698,You should stay silent.,ዝም በይ።,hate_speech,የጥላቻ ንግግር,silencing,ዝም ማሰኘት,Yes,አዎ አለ,individual,ግለሰብ,low,ዝቅተኛ,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና እውቅናን ይከልክላል።
1699,Your voice does not matter here.,እዚህ ድምፅሽ ዋጋ የለውም።,hate_speech,የጥላቻ ንግግር,silencing,ዝም ማሰኘት,Yes,አዎ አለ,individual,ግለሰብ,low,ዝቅተኛ,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና እውቅናን ይከልክላል።
1700,They are less than human.,ከሰው በታች ናቸው።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1701,We can solve this together.,ይህን በጋራ መፍታት እንችላለን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1702,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1703,You should stay silent.,ዝም በይ።,hate_speech,የጥላቻ ንግግር,silencing,ዝም ማሰኘት,Yes,አዎ አለ,individual,ግለሰብ,low,ዝቅተኛ,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና እውቅናን ይከልክላል።
1704,They are less than human.,ከሰው በታች ናቸው።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1705,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1706,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1707,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1708,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,የጥላቻ ንግግር,stereotyping,የተዛባ አመለካከት,Yes,አዎ አለ,group,ቡድን,low,ዝቅተኛ,English-Amharic,Uses harmful group stereotype.,ለአንድ ቡድን ያለ የተዛባ አመለካከት።
1709,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1710,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,የጥላቻ ንግግር,belonging denial,አባልነትን መከልከል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከለክላል።
1711,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1712,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1713,We should speak respectfully.,በክብር መናገር አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1714,We can solve this together.,ይህን በጋራ መፍታት እንችላለን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1715,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,የጥላቻ ንግግር,dehumanization,ሰብዓዊነትን መንፈግ,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
1716,Get out of our space.,ከቦታችን ውጣ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1717,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1718,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1719,We can disagree without hate.,ባንስማማም አለመጣላት እንችላለን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1720,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1721,We should correct mistakes without humiliation.,ሰዎችን ሳናዋርድ ስህተትን ማስተካከል አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1722,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1723,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በበጎ ሊታዩ ይችላሉ።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1724,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1725,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
1726,You should be pushed out.,መባረር አለብህ።,hate_speech,የጥላቻ ንግግር,exclusion,ማግለል,Yes,አዎ አለ,group,ቡድን,high,ከፍተኛ,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
1727,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,ጥሩ ንግግር,none,የለም,No,የለም,none,የለም,zero,ዜሮ,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
